fips,region,time,firms,establishments,net_change,total_job_gains,expanding_job_gains,opening_job_gains,total_job_losses,contracting_job_losses,closing_job_losses
01,Alabama,1994,6145.0,6219.0,30840.0,30840.0,0.0,30840.0,0.0,0.0,0.0
01,Alabama,1995,6248.0,6279.0,31897.0,31897.0,0.0,31897.0,0.0,0.0,0.0
01,Alabama,1996,5218.0,5230.0,26552.0,26552.0,0.0,26552.0,0.0,0.0,0.0
01,Alabama,1997,5802.0,5815.0,28308.0,28308.0,0.0,28308.0,0.0,0.0,0.0
01,Alabama,1998,5438.0,5443.0,26168.0,26168.0,0.0,26168.0,0.0,0.0,0.0
01,Alabama,1999,6144.0,6149.0,28947.0,28947.0,0.0,28947.0,0.0,0.0,0.0
01,Alabama,2000,4712.0,4715.0,22142.0,22142.0,0.0,22142.0,0.0,0.0,0.0
01,Alabama,2001,4627.0,4629.0,24047.0,24047.0,0.0,24047.0,0.0,0.0,0.0
01,Alabama,2002,4515.0,4542.0,22814.0,22814.0,0.0,22814.0,0.0,0.0,0.0
01,Alabama,2003,4692.0,4707.0,22693.0,22693.0,0.0,22693.0,0.0,0.0,0.0
01,Alabama,2004,4812.0,4819.0,25480.0,25480.0,0.0,25480.0,0.0,0.0,0.0
01,Alabama,2005,5105.0,5117.0,24937.0,24937.0,0.0,24937.0,0.0,0.0,0.0
01,Alabama,2006,5234.0,5282.0,24997.0,24997.0,0.0,24997.0,0.0,0.0,0.0
01,Alabama,2007,5372.0,5397.0,26876.0,26876.0,0.0,26876.0,0.0,0.0,0.0
01,Alabama,2008,4629.0,4639.0,22467.0,22467.0,0.0,22467.0,0.0,0.0,0.0
01,Alabama,2009,3791.0,3812.0,17917.0,17917.0,0.0,17917.0,0.0,0.0,0.0
01,Alabama,2010,3493.0,3504.0,17010.0,17010.0,0.0,17010.0,0.0,0.0,0.0
01,Alabama,2011,3683.0,3708.0,17805.0,17805.0,0.0,17805.0,0.0,0.0,0.0
01,Alabama,2012,3806.0,3809.0,18320.0,18320.0,0.0,18320.0,0.0,0.0,0.0
01,Alabama,2013,3734.0,3739.0,18639.0,18639.0,0.0,18639.0,0.0,0.0,0.0
01,Alabama,2014,3659.0,3677.0,18318.0,18318.0,0.0,18318.0,0.0,0.0,0.0
01,Alabama,2015,3744.0,3753.0,17841.0,17841.0,0.0,17841.0,0.0,0.0,0.0
01,Alabama,2016,3953.0,3985.0,20652.0,20652.0,0.0,20652.0,0.0,0.0,0.0
01,Alabama,2017,3979.0,4022.0,21157.0,21157.0,0.0,21157.0,0.0,0.0,0.0
01,Alabama,2018,3930.0,3951.0,20321.0,20321.0,0.0,20321.0,0.0,0.0,0.0
01,Alabama,2019,4599.0,4609.0,22707.0,22707.0,0.0,22707.0,0.0,0.0,0.0
01,Alabama,2020,4738.0,4768.0,20361.0,20361.0,0.0,20361.0,0.0,0.0,0.0
01,Alabama,2021,4284.0,4294.0,17432.0,17432.0,0.0,17432.0,0.0,0.0,0.0
02,Alaska,1994,1022.0,1024.0,4022.0,4022.0,0.0,4022.0,0.0,0.0,0.0
