fips,region,time,firms,establishments,net_change,total_job_gains,expanding_job_gains,opening_job_gains,,,total_job_losses,contracting_job_losses,closing_job_losses
0,United States,1994,397407,403667,2049963,2049963,0,2049963,,,0,0,0
0,United States,1995,414638,421190,2130078,2130078,0,2130078,,,0,0,0
0,United States,1996,407385,414355,2062854,2062854,0,2062854,2062854,yes,0,0,0
0,United States,1997,420017,427480,2139265,2139265,0,2139265,2139265,yes,0,0,0
0,United States,1998,405018,412906,2071235,2071235,0,2071235,2071235,yes,0,0,0
0,United States,1999,400510,408432,2033792,2033792,0,2033792,2033792,yes,0,0,0
0,United States,2000,406854,417244,2146587,2146587,0,2146587,2146587,yes,0,0,0
0,United States,2001,395811,405948,1962147,1962147,0,1962147,1962147,yes,0,0,0
0,United States,2002,385296,393095,1892299,1892299,0,1892299,1892299,yes,0,0,0
0,United States,2003,397149,404665,1866310,1866310,0,1866310,1866310,yes,0,0,0
0,United States,2004,398947,405600,1848546,1848546,0,1848546,1848546,yes,0,0,0
0,United States,2005,423473,430580,1945400,1945400,0,1945400,1945400,yes,0,0,0
0,United States,2006,448924,456875,1985610,1985610,0,1985610,1985610,yes,0,0,0
0,United States,2007,429441,437208,1874144,1874144,0,1874144,1874144,yes,0,0,0
0,United States,2008,394744,402468,1728007,1728007,0,1728007,1728007,yes,0,0,0
0,United States,2009,334996,341659,1447492,1447492,0,1447492,1447492,yes,0,0,0
0,United States,2010,318944,325634,1377514,1377514,0,1377514,1377514,yes,0,0,0
0,United States,2011,338942,346588,1458545,1458545,0,1458545,1458545,yes,0,0,0
0,United States,2012,358170,366265,1553113,1553113,0,1553113,1553113,yes,0,0,0
0,United States,2013,357288,365484,1536066,1536066,0,1536066,1536066,yes,0,0,0
0,United States,2014,362443,370760,1560192,1560192,0,1560192,1560192,yes,0,0,0
0,United States,2015,386520,395611,1639246,1639246,0,1639246,1639246,yes,0,0,0
0,United States,2016,403049,412918,1683343,1683343,0,1683343,1683343,yes,0,0,0
0,United States,2017,402716,412736,1701812,1701812,0,1701812,1701812,yes,0,0,0
0,United States,2018,400403,410996,1678377,1678377,0,1678377,1678377,yes,0,0,0
0,United States,2019,409433,420960,1680849,1680849,0,1680849,1680853,no,0,0,0
0,United States,2020,404382,415899,1651597,1651597,0,1651597,1651597,yes,0,0,0
0,United States,2021,421565,439493,1570535,1570535,0,1570535,1571715,no,0,0,0
