fips,region,type,category,time,rne,ose
23,Maine,Total,Total,1996,0.003997458682523633,0.7599235264851789
33,New Hampshire,Total,Total,1996,0.0033856381397051375,0.9526710498487311
50,Vermont,Total,Total,1996,0.003257434265747905,0.5760453464089185
25,Massachusetts,Total,Total,1996,0.0021537485647444327,0.8021047915897676
44,Rhode Island,Total,Total,1996,0.0020045474687185516,0.746843856116328
09,Connecticut,Total,Total,1996,0.003754950406714366,0.8553207635884394
36,New York,Total,Total,1996,0.0027597066809966694,0.8163514036257852
34,New Jersey,Total,Total,1996,0.0016786411953769002,0.8856747776623739
42,Pennsylvania,Total,Total,1996,0.0019434689142101282,0.8201358593575362
39,Ohio,Total,Total,1996,0.0026966419356024784,0.81668437945941
18,Indiana,Total,Total,1996,0.0028208999790526055,0.9577898708954932
17,Illinois,Total,Total,1996,0.002824571624074156,0.8614017999734401
26,Michigan,Total,Total,1996,0.0019465646208816213,0.8478148971046537
55,Wisconsin,Total,Total,1996,0.0021003161916472606,0.8293471425625057
27,Minnesota,Total,Total,1996,0.0025812021823758105,0.7922766931432453
19,Iowa,Total,Total,1996,0.006232809834224998,0.8162253671368234
29,Missouri,Total,Total,1996,0.00329342760964956,0.8657316459823926
38,North Dakota,Total,Total,1996,0.005395612108257316,0.8334255780287463
46,South Dakota,Total,Total,1996,0.002925109630971466,0.8660521908318644
31,Nebraska,Total,Total,1996,0.0022549171218191493,0.7388521932449051
20,Kansas,Total,Total,1996,0.003888918759317231,0.9188751417894986
10,Delaware,Total,Total,1996,0.0027248661291434852,0.7537077083768682
24,Maryland,Total,Total,1996,0.002658430275786945,0.9487911003580725
11,District of Columbia,Total,Total,1996,0.0025493280325762802,0.7810798827637655
51,Virginia,Total,Total,1996,0.002635644250238996,0.9068703423749909
54,West Virginia,Total,Total,1996,0.001959942879301509,0.9268433307711959
37,North Carolina,Total,Total,1996,0.0033651221155007374,0.802791367348491
45,South Carolina,Total,Total,1996,0.003543930581913529,0.8565584879896525
13,Georgia,Total,Total,1996,0.0038546119722055096,0.9029608905023284
12,Florida,Total,Total,1996,0.0035279044579143485,0.7627743610296687
21,Kentucky,Total,Total,1996,0.0033230372291639656,0.6873704795894744
47,Tennessee,Total,Total,1996,0.005059248444522425,0.914228524110883
01,Alabama,Total,Total,1996,0.00268077361121125,0.7216688578470131
28,Mississippi,Total,Total,1996,0.002806352782910869,0.5214624931799126
05,Arkansas,Total,Total,1996,0.002924126406002894,0.8592307991451436
22,Louisiana,Total,Total,1996,0.0030995693207421624,0.7082062588238985
40,Oklahoma,Total,Total,1996,0.004293043833666836,0.8836838204515063
48,Texas,Total,Total,1996,0.003558848698731794,0.7375619990383047
30,Montana,Total,Total,1996,0.004024531437956535,0.8647264947935672
16,Idaho,Total,Total,1996,0.004360532917329596,0.8377623738793887
56,Wyoming,Total,Total,1996,0.0034647212589104365,0.8723380752304438
08,Colorado,Total,Total,1996,0.005460129437314637,0.8521005252548165
35,New Mexico,Total,Total,1996,0.004439367921704235,0.8047278302319654
04,Arizona,Total,Total,1996,0.003861373668684725,0.8864787683223403
49,Utah,Total,Total,1996,0.0032198418178628007,0.8638457853093744
32,Nevada,Total,Total,1996,0.0031980889160980693,0.8865144344760425
53,Washington,Total,Total,1996,0.0026552954473933804,0.7827385353562586
41,Oregon,Total,Total,1996,0.004265380657234521,0.7779454095713559
06,California,Total,Total,1996,0.003721997914758846,0.741251451860997
02,Alaska,Total,Total,1996,0.006800694677522768,0.6694536074226162
15,Hawaii,Total,Total,1996,0.0016359412113969014,0.8013097454247513
23,Maine,Total,Total,1997,0.003012541976158507,0.7598181931397161
33,New Hampshire,Total,Total,1997,0.0012692241011161038,0.8706447363547322
50,Vermont,Total,Total,1997,0.004884959128634018,0.8567467578402167
25,Massachusetts,Total,Total,1997,0.001881091691704117,0.6661823197939952
44,Rhode Island,Total,Total,1997,0.0014173866043100131,0.8645178800553479
09,Connecticut,Total,Total,1997,0.0014487241934584404,0.8867826179450965
36,New York,Total,Total,1997,0.0025888042279151513,0.7254768110105471
34,New Jersey,Total,Total,1997,0.0018712491444095622,0.8388874026667571
42,Pennsylvania,Total,Total,1997,0.0017205088419038088,0.6778773553197517
39,Ohio,Total,Total,1997,0.002660132393137315,0.8696189464277081
18,Indiana,Total,Total,1997,0.0018593014494930856,0.9239727375925794
17,Illinois,Total,Total,1997,0.002340638913896018,0.7533715596399363
26,Michigan,Total,Total,1997,0.0027443223599929517,0.7889954373437273
55,Wisconsin,Total,Total,1997,0.0021274539465848644,0.8134995282834201
27,Minnesota,Total,Total,1997,0.0027281503141360743,0.8133476480667701
19,Iowa,Total,Total,1997,0.003055209086020914,0.8420815418088798
29,Missouri,Total,Total,1997,0.0017616524614502938,0.7552543298009928
38,North Dakota,Total,Total,1997,0.005449946234113844,0.8698817712627874
46,South Dakota,Total,Total,1997,0.004916987372925577,0.8806885327246623
31,Nebraska,Total,Total,1997,0.00540347111899004,0.8891001003840985
20,Kansas,Total,Total,1997,0.002438107100571568,0.7365778930608792
10,Delaware,Total,Total,1997,0.002498684163916272,0.836642996444655
24,Maryland,Total,Total,1997,0.002414944026626383,0.807435208826882
11,District of Columbia,Total,Total,1997,0.0023255161998517035,0.9045154070184958
51,Virginia,Total,Total,1997,0.0030648606292520138,0.7881321099659624
54,West Virginia,Total,Total,1997,0.0011809861549185435,0.7604698740699523
37,North Carolina,Total,Total,1997,0.0023992232420468706,0.9000622080395693
45,South Carolina,Total,Total,1997,0.0026014172182536,0.8771030641816312
13,Georgia,Total,Total,1997,0.0022504484817246696,0.857655470118472
12,Florida,Total,Total,1997,0.0036188120651867513,0.8040143764143622
21,Kentucky,Total,Total,1997,0.0029465910271893095,0.7571636347054088
47,Tennessee,Total,Total,1997,0.002572793009794789,0.9516674923013976
01,Alabama,Total,Total,1997,0.002717991315165119,0.7746937381939646
28,Mississippi,Total,Total,1997,0.0019879651118012293,0.8643086011297157
05,Arkansas,Total,Total,1997,0.0038559161809172404,0.8100280903012548
22,Louisiana,Total,Total,1997,0.003414074265723075,0.8436794482721213
40,Oklahoma,Total,Total,1997,0.0029278330219781076,0.8728377201783698
48,Texas,Total,Total,1997,0.003034127089360379,0.8073811809998324
30,Montana,Total,Total,1997,0.0058841616005430985,0.7722446418828268
16,Idaho,Total,Total,1997,0.004356782650323712,0.771911851021362
56,Wyoming,Total,Total,1997,0.0033709930055508997,0.7145703709527442
08,Colorado,Total,Total,1997,0.003367299249575801,0.7705036669383546
35,New Mexico,Total,Total,1997,0.00566080848012745,0.8824097723344784
04,Arizona,Total,Total,1997,0.003550441068506565,0.6932548887790876
49,Utah,Total,Total,1997,0.002983392149798253,0.9210352149005467
32,Nevada,Total,Total,1997,0.003730243566570496,0.8331270194542075
53,Washington,Total,Total,1997,0.0035071546448067377,0.8697287303409883
41,Oregon,Total,Total,1997,0.0036389105778723667,0.8348639064129567
06,California,Total,Total,1997,0.003438221284560961,0.7253735083528874
02,Alaska,Total,Total,1997,0.005911375596538196,0.7327858435888585
15,Hawaii,Total,Total,1997,0.0022234639493717598,0.7788038619191288
23,Maine,Total,Total,1998,0.004638020545215511,0.8132174289211423
33,New Hampshire,Total,Total,1998,0.0030510567934939918,0.731458629996879
50,Vermont,Total,Total,1998,0.003587725181335003,0.7350881959250852
25,Massachusetts,Total,Total,1998,0.0020859325371027507,0.9233585246295158
44,Rhode Island,Total,Total,1998,0.0020230199292392216,0.6254153481905838
09,Connecticut,Total,Total,1998,0.0013305513031545981,0.7258093991662238
36,New York,Total,Total,1998,0.002847493593010346,0.8034171382046295
34,New Jersey,Total,Total,1998,0.002506773808261959,0.8726096689755416
42,Pennsylvania,Total,Total,1998,0.0013424339782327622,0.8284289366015164
39,Ohio,Total,Total,1998,0.002449661160546129,0.8437369819881385
18,Indiana,Total,Total,1998,0.0024811066691990706,0.7358973057665305
17,Illinois,Total,Total,1998,0.002342185183121413,0.7396558137521241
26,Michigan,Total,Total,1998,0.0024273250636488884,0.775221621058685
55,Wisconsin,Total,Total,1998,0.002686743881964779,0.8072103964322724
27,Minnesota,Total,Total,1998,0.003984545813359922,0.8730918585338104
19,Iowa,Total,Total,1998,0.0027032559465851023,0.8988713266369633
29,Missouri,Total,Total,1998,0.003759494872633386,0.8173448356360975
38,North Dakota,Total,Total,1998,0.0030987970832642344,0.7387275199552021
46,South Dakota,Total,Total,1998,0.004878387667781107,0.8299928484117385
31,Nebraska,Total,Total,1998,0.003276844415634271,0.9070966451170625
20,Kansas,Total,Total,1998,0.0033598958099705003,0.9037556716894617
10,Delaware,Total,Total,1998,0.0016443035581427258,0.899193067843032
24,Maryland,Total,Total,1998,0.0027465989705440343,0.6447079393306028
11,District of Columbia,Total,Total,1998,0.0031180539788733894,0.7354105477666729
51,Virginia,Total,Total,1998,0.002247553217724974,0.8011796650037979
54,West Virginia,Total,Total,1998,0.002396035910982442,0.9421488512629266
37,North Carolina,Total,Total,1998,0.0029625747211127684,0.801534212656931
45,South Carolina,Total,Total,1998,0.0031528485497209955,0.8965106149408117
13,Georgia,Total,Total,1998,0.0033907007521739516,0.8310810131825572
12,Florida,Total,Total,1998,0.0030590439389357143,0.8164042246884826
21,Kentucky,Total,Total,1998,0.0023428734759287006,0.8454394031653758
47,Tennessee,Total,Total,1998,0.002402412985497249,0.939162869066874
01,Alabama,Total,Total,1998,0.0015135924486420471,0.8327673033008028
28,Mississippi,Total,Total,1998,0.0037532779366171044,0.800226589513825
05,Arkansas,Total,Total,1998,0.003030000141867841,0.7605680513130167
22,Louisiana,Total,Total,1998,0.002759175787250707,0.8289138626915896
40,Oklahoma,Total,Total,1998,0.004178466688216265,0.884185075697625
48,Texas,Total,Total,1998,0.002555812548124787,0.7081841264080473
30,Montana,Total,Total,1998,0.005733379282844602,0.804305370554161
16,Idaho,Total,Total,1998,0.003190205137456673,0.763892125458899
56,Wyoming,Total,Total,1998,0.004215126192812743,0.8368736104562151
08,Colorado,Total,Total,1998,0.004563458004311737,0.8330857480847884
35,New Mexico,Total,Total,1998,0.006583054615268755,0.7922478413443904
04,Arizona,Total,Total,1998,0.004567766072315223,0.9088504550340802
